strain	accession	strain_name	date	host	country	virus	subtype	type	sequence_locus
oc43/KY967359/HCoV_OC43/Seattle/USA/SC2730/2015/2015	KY967359	HCoV_OC43/Seattle/USA/SC2730/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY967358/HCoV_OC43/Seattle/USA/SC2770/2015/2015	KY967358	HCoV_OC43/Seattle/USA/SC2770/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY983585/HCoV_OC43/Seattle/USA/SC2854/2015/2015	KY983585	HCoV_OC43/Seattle/USA/SC2854/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY967356/HCoV_OC43/Seattle/USA/SC2924/2015/2015	KY967356	HCoV_OC43/Seattle/USA/SC2924/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY983588/HCoV_OC43/Seattle/USA/SC3118/2015/2015	KY983588	HCoV_OC43/Seattle/USA/SC3118/2015	2015-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY369906/HCoV_OC43/Seattle/USA/SC622/2016/2016	KY369906	HCoV_OC43/Seattle/USA/SC622/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY369905/HCoV_OC43/Seattle/USA/SC831/2016/2016	KY369905	HCoV_OC43/Seattle/USA/SC831/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN310476/HCoV_OC43/Seattle/USA/SC9428/2018/2019	MN310476	HCoV_OC43/Seattle/USA/SC9428/2018	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN306053/HCoV_OC43/Seattle/USA/SC9430/2018/2019	MN306053	HCoV_OC43/Seattle/USA/SC9430/2018	2019-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KY369907/HCoV_OC43/Seattle/USA/SC9741/2016/2016	KY369907	HCoV_OC43/Seattle/USA/SC9741/2016	2016-XX-XX	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/JN129835/HK04_02/2004	JN129835	HK04_02	2004-11-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/KX344031/OC43/human/Mex/LRTI_238/2011/2011	KX344031	OC43/human/Mex/LRTI_238/2011	2011-02-09	Human	Mexico	Betacoronavirus_1	oc43	beta	full
oc43/KF530068/OC43/human/USA/007_11/2000/2000	KF530068	OC43/human/USA/007_11/2000	2000-07-27	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530092/OC43/human/USA/008_5/2000/2000	KF530092	OC43/human/USA/008_5/2000	2000-08-08	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530088/OC43/human/USA/901_54/1990/1990	KF530088	OC43/human/USA/901_54/1990	1990-01-23	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530076/OC43/human/USA/911_11/1991/1991	KF530076	OC43/human/USA/911_11/1991	1991-01-03	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530096/OC43/human/USA/911_38/1991/1991	KF530096	OC43/human/USA/911_38/1991	1991-01-15	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530091/OC43/human/USA/911_58/1991/1991	KF530091	OC43/human/USA/911_58/1991	1991-01-24	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530089/OC43/human/USA/911_66/1991/1991	KF530089	OC43/human/USA/911_66/1991	1991-01-29	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530067/OC43/human/USA/912_10/1991/1991	KF530067	OC43/human/USA/912_10/1991	1991-02-07	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530082/OC43/human/USA/912_11/1991/1991	KF530082	OC43/human/USA/912_11/1991	1991-02-07	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530094/OC43/human/USA/912_36/1991/1991	KF530094	OC43/human/USA/912_36/1991	1991-02-22	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530095/OC43/human/USA/912_6/1991/1991	KF530095	OC43/human/USA/912_6/1991	1991-02-05	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530079/OC43/human/USA/913_29/1991/1991	KF530079	OC43/human/USA/913_29/1991	1991-03-14	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530071/OC43/human/USA/925_1/1992/1992	KF530071	OC43/human/USA/925_1/1992	1992-05-04	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530084/OC43/human/USA/951_18/1995/1995	KF530084	OC43/human/USA/951_18/1995	1995-01-12	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530078/OC43/human/USA/9612_29/1996/1996	KF530078	OC43/human/USA/9612_29/1996	1996-12-17	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530063/OC43/human/USA/9612_48/1996/1996	KF530063	OC43/human/USA/9612_48/1996	1996-12-30	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530064/OC43/human/USA/9612_9/1996/1996	KF530064	OC43/human/USA/9612_9/1996	1996-12-04	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530098/OC43/human/USA/965_6/1996/1996	KF530098	OC43/human/USA/965_6/1996	1996-05-10	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530099/OC43/human/USA/971_5/1997/1997	KF530099	OC43/human/USA/971_5/1997	1997-01-02	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530072/OC43/human/USA/9712_13/1997/1997	KF530072	OC43/human/USA/9712_13/1997	1997-12-11	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530080/OC43/human/USA/9712_31/1997/1997	KF530080	OC43/human/USA/9712_31/1997	1997-12-18	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530069/OC43/human/USA/982_4/1998/1998	KF530069	OC43/human/USA/982_4/1998	1998-02-05	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530070/OC43/human/USA/991_19/1999/1999	KF530070	OC43/human/USA/991_19/1999	1999-01-15	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/KF530081/OC43/human/USA/991_5/1999/1999	KF530081	OC43/human/USA/991_5/1999	1999-01-07	Human	USA	Betacoronavirus_1	oc43	beta	full
oc43/MN026164/OC43_KLF_01_2018/2018	MN026164	OC43_KLF_01_2018	2018-01-18	Human	Kenya	Betacoronavirus_1	oc43	beta	full
oc43/MN026165/OC43_KLF_02_2017/2017	MN026165	OC43_KLF_02_2017	2017-11-27	Human	Kenya	Betacoronavirus_1	oc43	beta	full
oc43/JN129834/HK04_01/2004	JN129834	HK04_01	2004-11-XX	Human	China	Betacoronavirus_1	oc43	beta	full
oc43/MF996641/OC43/2015	MF996641	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996642/OC43/2015	MF996642	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996644/OC43/2015	MF996644	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996646/OC43/2015	MF996646	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996649/OC43/2015	MF996649	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996650/OC43/2015	MF996650	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996651/OC43/2015	MF996651	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996652/OC43/2015	MF996652	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996653/OC43/2015	MF996653	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996654/OC43/2015	MF996654	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996655/OC43/2015	MF996655	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996658/OC43/2015	MF996658	OC43	2015-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
oc43/MF996659/OC43/2014	MF996659	OC43	2014-XX-XX	Human	China	unidentified_human_coronavirus	oc43	beta	full
