strain	strain_name	date	host	country	virus	subtype	type	sequence_locus
MG912603	Hu/Riyadh_KSA_9693/2017	2017-06-12	Human	Saudi_Arabia	NA	None	None	full
MG912608	Hu/Riyadh_KSA_9730/2017	2017-06-14	Human	Saudi_Arabia	NA	None	None	full
MG912605	Hu/Riyadh_KSA_9835/2017	2017-06-17	Human	Saudi_Arabia	NA	None	None	full
MG912606	Hu/Riyadh_KSA_9852/2017	2017-06-14	Human	Saudi_Arabia	NA	None	None	full
MG011361	Hu/Riyadh_KSA_K17000405/2017	2017-01-10	Human	Saudi_Arabia	NA	None	None	full
MG011360	Hu/Riyadh_KSA_K17000887/2017	2017-01-23	Human	Saudi_Arabia	NA	None	None	full
MG011362	Hu/Riyadh_KSA_K37029157/2016	2016-12-25	Human	Saudi_Arabia	NA	None	None	full
MK462252	Hu/Tabuk_KSA_153/2018	2018-08-03	Human	Saudi_Arabia	NA	None	None	full
KY581684	Hu/UAE_002_2013	2013-07-10	Human	United_Arab_Emirates	NA	None	None	full
KY673143	Hu/UAE_003_2013	2013-07-12	Human	United_Arab_Emirates	NA	None	None	full
KY673146	Hu/UAE_003_2013	2013-07-12	Human	United_Arab_Emirates	NA	None	None	full
KY581685	Hu/UAE_004_2013	2013-07-12	Human	United_Arab_Emirates	NA	None	None	full
KY673144	Hu/UAE_008_2013	2013-11-24	Human	United_Arab_Emirates	NA	None	None	full
KY581686	Hu/UAE_009_2014	2014-04-10	Human	United_Arab_Emirates	NA	None	None	full
KY581687	Hu/UAE_011_2013	2013-12-23	Human	United_Arab_Emirates	NA	None	None	full
KY581688	Hu/UAE_011_2014	2014-04-10	Human	United_Arab_Emirates	NA	None	None	full
KY581689	Hu/UAE_015_2014	2014-04-10	Human	United_Arab_Emirates	NA	None	None	full
KY581690	Hu/UAE_017_2014	2014-04-12	Human	United_Arab_Emirates	NA	None	None	full
KY581691	Hu/UAE_023_2014	2014-04-14	Human	United_Arab_Emirates	NA	None	None	full
KY581692	Hu/UAE_025_2014	2014-04-15	Human	United_Arab_Emirates	NA	None	None	full
KY581693	Hu/UAE_032_2014	2014-04-20	Human	United_Arab_Emirates	NA	None	None	full
KY673145	Hu/UAE_045_2014	2014-04-25	Human	United_Arab_Emirates	NA	None	None	full
KY673147	Hu/UAE_045_2014	2014-04-25	Human	United_Arab_Emirates	NA	None	None	full
KY581694	Hu/UAE_X_2014	2014-XX-XX	Human	United_Arab_Emirates	NA	None	None	full
MK796425	KNIH/002_05_2015	2015-05-20	Human	South_Korea	NA	None	None	full
MH978886	MERS_CoV/KOR/KCDC/001_2018_SP	2018-09-08	Human	South_Korea	NA	None	None	full
MH978887	MERS_CoV/KOR/KCDC/001_2018_TS	2018-09-08	Human	South_Korea	NA	None	None	full
MH978888	MERS_CoV/KOR/KCDC/001_2018_TSVi	2018-09-12	Human	South_Korea	NA	None	None	full
MK129253	MERS_CoV/KOR/KCDC/001_2018_TSVi	2018-10-20	Human	South_Korea	NA	None	None	full
KT326819	MERS_CoV/KOR/KNIH/001_05_2015	2015-05-22	Human	South_Korea	NA	None	None	full
KY689142	MERS_Cov/Riyadh_KSA/NGHA__KAMC_2016	2016-01-XX	Human	Saudi_Arabia	NA	None	None	full
KT225476	MERS_CoV/THA/CU/17_06_2015	2015-06-17	Human	Thailand	NA	None	None	full
MH822886	MERS_CoV_England_KSA/1/2018	2018-08-22	Human	United_Kingdom	NA	None	None	full
MK280984	Qatar15	2015-05-21	Human	Qatar	NA	None	None	full
MH685708	E0_077	2013-XX-XX	Human	Uganda	Avian_coronavirus	None	None	full
MH685718	E0_034	2013-XX-XX	Human	Uganda	Betacoronavirus_1	None	None	full
KF572819	039A_07	2007-04-XX	Human	China	Betacoronavirus_1	None	None	full
KF572873	075A_07	2007-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572627	079A_07	2007-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572708	079A_07	2007-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572820	079A_07	2007-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572874	079A_07	2007-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF923918	10108/2010	2010-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572628	10108_10	2010-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572709	10108_10	2010-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572821	10108_10	2010-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572875	10108_10	2010-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572710	10241_10	2010-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF923895	10285/2010	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572629	10285_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572711	10285_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572822	10285_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572876	10285_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF923924	10290/2010	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572707	10290_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572712	10290_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572823	10290_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572877	10290_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572630	1029A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572713	1029A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572878	1029A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572631	1034A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572714	1034A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572824	1034A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572879	1034A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572632	10352_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF572715	10352_10	2010-07-XX	Human	China	Betacoronavirus_1	None	None	full
KF923925	10574/2010	2010-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572633	10574_10	2010-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572716	10574_10	2010-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572825	10574_10	2010-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572880	10574_10	2010-09-XX	Human	China	Betacoronavirus_1	None	None	full
FJ647039	10629	2004-02-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647040	10632	2004-02-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647041	10644	2004-02-XX	Human	Sweden	Betacoronavirus_1	None	None	full
KF572634	1081A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572717	1081A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572826	1081A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
KF572881	1081A_08	2008-11-XX	Human	China	Betacoronavirus_1	None	None	full
FJ647070	110077	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647071	110084	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647072	110086	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647073	110088	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647074	110093	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647075	110094	2007-01-XX	Human	Sweden	Betacoronavirus_1	None	None	full
FJ647076	110103	2007-02-XX	Human	Sweden	Betacoronavirus_1	None	None	full
KF572718	1135A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572827	1135A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572882	1135A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572635	1155A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572719	1155A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572883	1155A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572636	1157A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572720	1157A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572828	1157A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572884	1157A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572721	11914_11	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572722	11930_11	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572829	11930_11	2011-09-XX	Human	China	Betacoronavirus_1	None	None	full
KF572637	1216A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572723	1216A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572830	1216A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572885	1216A_08	2008-12-XX	Human	China	Betacoronavirus_1	None	None	full
KF572638	12642_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572639	12651_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572724	12651_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF923902	12689/2012	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572640	12689_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572725	12689_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572831	12689_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572886	12689_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF923903	12691/2012	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572641	12691_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572726	12691_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572832	12691_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572887	12691_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF923904	12694/2012	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572642	12694_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572727	12694_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572833	12694_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572888	12694_12	2012-05-XX	Human	China	Betacoronavirus_1	None	None	full
KF572643	12700_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572728	12700_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572644	12741_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572729	12741_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572645	12747_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572730	12747_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572889	12747_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572646	12760_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572731	12760_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KF572890	12760_12	2012-06-XX	Human	China	Betacoronavirus_1	None	None	full
KR055576	12MYKL0002	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055599	12MYKL0002	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055622	12MYKL0002	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055577	12MYKL0043	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055600	12MYKL0043	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055623	12MYKL0043	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055578	12MYKL0208	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055601	12MYKL0208	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055624	12MYKL0208	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055579	12MYKL0236	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055602	12MYKL0236	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055625	12MYKL0236	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055580	12MYKL0413	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055603	12MYKL0413	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055626	12MYKL0413	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055581	12MYKL0464	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
KR055604	12MYKL0464	2012-XX-XX	Human	Malaysia	Betacoronavirus_1	None	None	full
